user_id,item_id,item_type,score
1,3,Business,1
1,3,Business,3
1,5,Business,2
1,2,User,1
1,3,User,1
1,10,User,1
1,21,Review,0.8
1,5,Review,0.8
1,14,Review,0.8
1,4,Review,0.8
1,15,Review,0.8
2,5,User,1
2,9,User,1
2,6,User,1
2,2,Review,0.8
2,5,Review,0.8
2,16,Review,0.8
2,23,Review,0.8
2,3,Review,0.8
2,11,Review,0.8
3,1,Business,2
3,2,Business,5
3,6,User,1
3,5,User,1
3,7,User,1
3,11,Review,0.8
3,6,Review,0.8
3,3,Review,0.8
4,2,Business,1
4,4,Business,1
4,2,User,1
4,6,User,1
4,10,User,1
4,1,Review,0.8
4,8,Review,0.8
4,9,Review,0.8
4,3,Review,0.8
4,20,Review,0.8
4,18,Review,0.8
4,9,Review,0.8
5,3,Business,2
5,3,Business,5
5,2,Business,5
5,6,User,1
5,9,User,1
5,10,User,1
5,24,Review,0.8
5,24,Review,0.8
5,23,Review,0.8
5,29,Review,0.8
6,5,Business,3
6,2,Business,4
6,5,Business,1
6,2,Business,5
6,3,Business,1
6,10,User,1
6,2,User,1
6,8,User,1
6,23,Review,0.8
6,25,Review,0.8
6,29,Review,0.8
6,7,Review,0.8
6,14,Review,0.8
6,6,Review,0.8
6,22,Review,0.8
7,2,Business,3
7,3,Business,5
7,3,Business,3
7,4,Business,5
7,2,Business,5
7,9,User,1
7,10,User,1
7,1,User,1
7,23,Review,0.8
7,8,Review,0.8
7,17,Review,0.8
8,4,Business,3
8,2,Business,1
8,3,Business,1
8,3,User,1
8,4,User,1
8,10,User,1
8,4,Review,0.8
8,6,Review,0.8
8,13,Review,0.8
8,30,Review,0.8
8,23,Review,0.8
8,6,Review,0.8
9,4,Business,2
9,5,Business,3
9,3,User,1
9,5,User,1
9,1,User,1
9,18,Review,0.8
10,2,Business,3
10,3,Business,2
10,2,Business,5
10,5,Business,2
10,4,Business,3
10,2,User,1
10,5,User,1
10,4,User,1
10,3,Review,0.8
10,17,Review,0.8
10,28,Review,0.8
10,22,Review,0.8
10,11,Review,0.8
10,15,Review,0.8
10,29,Review,0.8
10,19,Review,0.8
11,4,Business,5
12,6,Business,5
12,6,Business,5
12,31,Review,0.6
12,31,Review,0.6
13,6,Business,5
13,9,User,1
13,33,Review,0.8
